Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",105.256117,-72.252032,0.000000,top
"C2","22u","C_0805_2012Metric",110.178222,-77.431787,90.000000,top
"C3","10u","C_0603_1608Metric",93.000000,-58.327489,0.000000,top
"C4","100n","C_0402_1005Metric",88.500000,-63.000000,90.000000,top
"C5","100n","C_0402_1005Metric",98.580000,-72.000000,180.000000,top
"C6","100n","C_0402_1005Metric",101.750000,-63.500000,-90.000000,top
"C7","100n","C_0402_1005Metric",92.980000,-60.000000,0.000000,top
"C8","10u","C_0402_1005Metric",88.487075,-67.047458,90.000000,top
"C9","1u","C_0402_1005Metric",85.980000,-71.500000,180.000000,top
"C10","1u","C_0402_1005Metric",86.000000,-73.000000,180.000000,top
"C11","100n","C_0402_1005Metric",93.306696,-72.000000,0.000000,top
"C12","10p","C_0402_1005Metric",86.500000,-65.000000,90.000000,top
"C13","10p","C_0402_1005Metric",86.533848,-66.998486,90.000000,top
"D1","LED","LED_0603_1608Metric",112.604427,-77.562250,-90.000000,top
"FB1","120R","L_0603_1608Metric",88.403957,-72.211069,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",110.745000,-65.000000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",96.418683,-54.717167,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",111.347694,-54.570629,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",88.344177,-80.696343,90.000000,top
"R1","1K5","R_0402_1005Metric",112.556185,-75.343833,180.000000,top
"R2","10K","R_0402_1005Metric",88.000000,-58.500000,0.000000,top
"R3","1k5","R_0402_1005Metric",104.448729,-64.251299,-90.000000,top
"R4","1K5","R_0402_1005Metric",91.510000,-77.000000,0.000000,top
"R5","1K5","R_0402_1005Metric",94.010000,-77.000000,180.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",83.965935,-57.229255,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",104.000000,-78.000000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",95.500000,-66.000000,0.000000,top
"Y1","16MH","Crystal_SMD_3225-4Pin_3.2x2.5mm",83.500000,-65.831698,-90.000000,top
